worker_id,window_duration,tasks_completed,correct_tasks,partial_reward,quality_session,quality_session,quality_session,total_reward
A39DY43GBH49SJ,233,10,5,0.27,0.638297872,0.68,,
A10E4LHR5D2K1B,283,10,7,0.29,0.659574468,0.6875,,
A2U9UDH0HUYH3U,65,10,7,0.26,0.70212766,0.6875,,
ALWIVW72RVB5E,108,8,6,0.24,0.744680851,0.688888889,,
A1LJRHW7DSCHOW,59,9,5,0.2,0.734693878,0.693877551,,
A26KOGQVJXSXER,97,10,6,0.32,0.76,0.693877551,,
A2NZLQZOFDE6EK,116,10,9,0.22,0.78,0.693877551,,
A3MF5GN0AFDWGN,175,10,9,0.28,0.74,0.693877551,,
A2H557RQ3T3LPX,174,10,7,0.29,0.7,0.7,,
A2XMKA4PI5O0C,196,10,7,0.22,0.72,0.7,,
A2YMPGADK5MEP0,91,10,7,0.27,0.739130435,0.7,,
A3FIN4CUQQ8RN7,97,10,7,0.28,0.763157895,0.7,,
A3MG1TXKB2V3V7,95,10,7,0.24,0.756756757,0.7,,
AB4SWSQGKADYJ,59,10,8,0.3,0.777777778,0.7,,
A3SVVZOT628LE8,78,6,5,0.17,0.777777778,0.704545455,,
A1ZNHWL3R1SHBC,17,2,2,0.05,0.725,0.705882353,,
A46M35FVJ5YDS,95,9,6,0.28,0.711111111,0.708333333,,
A20ETN0FA897XC,180,9,7,0.25,0.688888889,0.711111111,,
A1V3KOQXC2MUJ6,82,10,8,0.26,0.717391304,0.714285714,,
A3O5G4PAUHAVOI,83,10,6,0.33,0.704545455,0.714285714,,
A5JVR3MIY6ZU7,62,7,5,0.2,0.743243243,0.714285714,,
AR73R3ZQI14UA,63,9,5,0.27,0.765957447,0.714285714,,
AZSIQOEHMFQ4J,38,10,9,0.3,0.8125,0.714285714,,
A3FH8K3XZJADMY,189,8,6,0.2,0.75,0.717391304,,
A17YHLSRIOLN3R,101,10,8,0.31,0.78,0.72,,
A1Q89Q9URVARUG,125,10,8,0.29,0.78,0.72,,
A1VU3AAUHYB1B3,93,10,8,0.26,0.74,0.72,,
A1XQID5VRCNP42,142,10,6,0.26,0.673913043,0.72,,
A25Q9MNP4M7THO,84,10,9,0.3,0.695652174,0.72,,
A262EK9JW5FTK4,82,10,8,0.22,0.673913043,0.72,,
A3EUES1SETEUS6,62,10,6,0.21,0.695652174,0.72,,
A3L2MMZBG6DHYS,112,6,2,0.15,0.717948718,0.72,,
AHLY43ZD9BNAF,113,10,7,0.27,0.825,0.72,,
A1SE0JWWA7WH5L,206,10,8,0.31,0.825,0.723404255,,
AQSK1671FL496,86,10,9,0.26,0.775,0.729166667,,
A1HYBTBCRYOOYQ,94,9,8,0.21,0.725,0.734693878,,
A26T17KHYA5S3S,10,1,1,0.04,0.666666667,0.736842105,,
A3KT02CXO9T6Z8,144,10,7,0.33,0.65,0.74,,
A3USIJJCFXMG33,52,10,6,0.21,0.631578947,0.74,,
AHFWMHXRTGDK9,83,10,7,0.32,0.684210526,0.74,,
A2IYGRTEJEB6DW,20,2,1,0.06,0.675675676,0.743589744,,
A3APBEWJRTCV4G,153,8,5,0.2,0.711111111,0.744680851,,
A1NO6ZM4D7A6AB,41,8,5,0.21,0.739130435,0.75,,
A2AUD0EEYGAWKH,98,10,8,0.26,0.791666667,0.75,,
A354YHGCCVW4N5,129,9,6,0.21,0.791666667,0.772727273,,
A2KUEMZHTK9724,68,10,8,0.24,0.816326531,0.775510204,,
A35UWK03FDJ4KV,191,9,7,0.28,0.836734694,0.777777778,,
A3325LLTO594TG,70,10,9,0.3,0.86,0.78,,
A7BCBYYNSORBY,103,10,8,0.27,0.8,0.78,,
A1FUQZSFQ2ENEF,213,10,8,0.27,0.8,0.8,,
A1NCIKNP38QAK6,76,10,9,0.26,0.8,0.8,,
A2QX7M306Z6ZJ7,96,10,9,0.3,0.78,0.8,,
A3TVJTQUSMF8NI,64,10,6,0.33,0.734693878,0.8,,
AHPW5R1OVKV1X,98,10,8,0.32,0.795918367,0.8,,
AUGN7P7HPWY1H,92,10,8,0.22,0.836734694,0.8,,
AX9LH5UKXP452,113,10,8,0.27,0.854166667,0.8,,
AW4G5K5PBW3C4,97,9,6,0.21,0.875,0.8125,,
AWGOTRBZPJYWN,82,10,9,0.24,0.897959184,0.833333333,,
A19QMK6Z98GB7R,177,10,10,0.26,0.866666667,0.836734694,,
A3Q84IRO57KUVU,101,9,8,0.29,0.818181818,0.836734694,,
A4C4JPLX3M246,142,10,9,0.29,0.840909091,0.836734694,,
A2G2S14YIRXEKP,126,10,8,0.24,0.840909091,0.846153846,,
A2B7M6DUEI4WGX,53,6,4,0.11,0.837209302,0.847826087,,
A4RRZONHURU74,67,9,7,0.26,0.804347826,0.857142857,,
A3C7Z9ALUTSXHX,48,9,9,0.24,0.765957447,0.880952381,,
A1UGBF713D1AGZ,76,10,9,0.27,0.729166667,0.92,,
A10E4LHR5D2K1B,215,9,7,0.26,,0.700293325,,
A10E4LHR5D2K1B,193,9,5,0.24,,,,
A10E4LHR5D2K1B,164,10,6,0.24,,,,
A10E4LHR5D2K1B,119,10,8,0.26,,,,
A12PZT2MUOY9I4,67,10,5,0.27,,,,
A12PZT2MUOY9I4,53,10,6,0.24,,,,
A12PZT2MUOY9I4,70,10,5,0.22,,,,
A12PZT2MUOY9I4,51,9,3,0.24,,,,
A17YHLSRIOLN3R,102,10,6,0.29,,,,
A17YHLSRIOLN3R,93,10,8,0.29,,,,
A17YHLSRIOLN3R,73,10,5,0.26,,,,
A17YHLSRIOLN3R,81,10,9,0.28,,,,
A19QMK6Z98GB7R,182,9,9,0.24,,,,
A19QMK6Z98GB7R,227,10,7,0.25,,,,
A19QMK6Z98GB7R,130,10,7,0.29,,,,
A19QMK6Z98GB7R,162,10,8,0.29,,,,
A1FUQZSFQ2ENEF,128,10,9,0.26,,,,
A1FUQZSFQ2ENEF,116,10,8,0.29,,,,
A1FUQZSFQ2ENEF,203,10,8,0.28,,,,
A1FUQZSFQ2ENEF,128,10,7,0.29,,,,
A1G6FOCQ4G967A,108,10,7,0.24,,,,
A1G6FOCQ4G967A,134,10,4,0.27,,,,
A1G6FOCQ4G967A,171,10,5,0.27,,,,
A1G6FOCQ4G967A,146,10,7,0.3,,,,
A1H02T7P69OQ7F,168,10,6,0.31,,,,
A1H02T7P69OQ7F,149,10,4,0.29,,,,
A1H02T7P69OQ7F,360,10,4,0.25,,,,
A1H02T7P69OQ7F,105,10,7,0.26,,,,
A1HRH92NH49RX2,61,10,7,0.29,,,,
A1HRH92NH49RX2,43,10,6,0.3,,,,
A1HRH92NH49RX2,62,10,5,0.29,,,,
A1HRH92NH49RX2,58,10,8,0.31,,,,
A1HYBTBCRYOOYQ,103,10,8,0.24,,,,
A1HYBTBCRYOOYQ,94,10,8,0.26,,,,
A1HYBTBCRYOOYQ,95,10,6,0.27,,,,
A1HYBTBCRYOOYQ,62,10,6,0.31,,,,
A1LJRHW7DSCHOW,52,10,6,0.27,,,,
A1LJRHW7DSCHOW,60,10,8,0.29,,,,
A1LJRHW7DSCHOW,55,10,8,0.28,,,,
A1LJRHW7DSCHOW,71,10,7,0.28,,,,
A1LQQ7UQKJYITI,38,10,6,0.29,,,,
A1LQQ7UQKJYITI,44,10,6,0.28,,,,
A1LQQ7UQKJYITI,40,10,4,0.28,,,,
A1LQQ7UQKJYITI,42,10,6,0.23,,,,
A1NCIKNP38QAK6,58,10,8,0.28,,,,
A1NCIKNP38QAK6,59,10,8,0.29,,,,
A1NCIKNP38QAK6,54,10,8,0.29,,,,
A1NCIKNP38QAK6,70,10,7,0.31,,,,
A1NO6ZM4D7A6AB,45,10,8,0.23,,,,
A1NO6ZM4D7A6AB,32,10,8,0.27,,,,
A1NO6ZM4D7A6AB,43,10,8,0.29,,,,
A1NO6ZM4D7A6AB,45,10,7,0.3,,,,
A1OS7VYYVLF0AX,95,9,6,0.28,,,,
A1OS7VYYVLF0AX,83,7,4,0.21,,,,
A1OS7VYYVLF0AX,62,9,5,0.24,,,,
A1OS7VYYVLF0AX,94,10,8,0.25,,,,
A1Q89Q9URVARUG,111,10,8,0.31,,,,
A1Q89Q9URVARUG,91,10,7,0.29,,,,
A1Q89Q9URVARUG,75,10,6,0.26,,,,
A1Q89Q9URVARUG,55,10,7,0.24,,,,
A1SE0JWWA7WH5L,117,9,8,0.27,,,,
A1SE0JWWA7WH5L,74,8,5,0.21,,,,
A1SE0JWWA7WH5L,85,10,7,0.25,,,,
A1SE0JWWA7WH5L,89,10,6,0.23,,,,
A1UGBF713D1AGZ,68,10,9,0.27,,,,
A1UGBF713D1AGZ,32,10,9,0.27,,,,
A1UGBF713D1AGZ,56,10,9,0.29,,,,
A1UGBF713D1AGZ,50,10,10,0.26,,,,
A1V3KOQXC2MUJ6,134,10,6,0.27,,,,
A1V3KOQXC2MUJ6,85,10,7,0.26,,,,
A1V3KOQXC2MUJ6,97,9,7,0.26,,,,
A1V3KOQXC2MUJ6,71,10,7,0.28,,,,
A1VU3AAUHYB1B3,115,10,9,0.27,,,,
A1VU3AAUHYB1B3,57,10,6,0.28,,,,
A1VU3AAUHYB1B3,56,10,6,0.28,,,,
A1VU3AAUHYB1B3,43,10,7,0.34,,,,
A1XQID5VRCNP42,54,10,9,0.24,,,,
A1XQID5VRCNP42,59,10,7,0.28,,,,
A1XQID5VRCNP42,79,10,8,0.3,,,,
A1XQID5VRCNP42,59,10,6,0.3,,,,
A1ZNHWL3R1SHBC,7,2,1,0.05,,,,
A1ZNHWL3R1SHBC,6,2,1,0.05,,,,
A1ZNHWL3R1SHBC,53,9,8,0.29,,,,
A1ZNHWL3R1SHBC,12,2,0,0.05,,,,
A20ETN0FA897XC,127,10,8,0.28,,,,
A20ETN0FA897XC,113,9,5,0.27,,,,
A20ETN0FA897XC,81,8,7,0.2,,,,
A20ETN0FA897XC,88,9,5,0.22,,,,
A21XMG5KSWXX9M,78,10,5,0.28,,,,
A21XMG5KSWXX9M,51,10,9,0.28,,,,
A21XMG5KSWXX9M,55,10,6,0.25,,,,
A21XMG5KSWXX9M,44,10,5,0.28,,,,
A23PQMG7CSE4FS,203,10,5,0.29,,,,
A23PQMG7CSE4FS,74,10,8,0.31,,,,
A23PQMG7CSE4FS,86,10,6,0.32,,,,
A23PQMG7CSE4FS,68,10,5,0.34,,,,
A25Q9MNP4M7THO,42,10,7,0.29,,,,
A25Q9MNP4M7THO,74,10,5,0.27,,,,
A25Q9MNP4M7THO,53,10,9,0.27,,,,
A25Q9MNP4M7THO,42,10,6,0.25,,,,
A262EK9JW5FTK4,122,10,7,0.24,,,,
A262EK9JW5FTK4,75,10,7,0.23,,,,
A262EK9JW5FTK4,60,10,8,0.26,,,,
A262EK9JW5FTK4,180,10,6,0.25,,,,
A26KOGQVJXSXER,137,10,6,0.3,,,,
A26KOGQVJXSXER,92,9,7,0.24,,,,
A26KOGQVJXSXER,167,10,7,0.27,,,,
A26KOGQVJXSXER,55,10,8,0.23,,,,
A26T17KHYA5S3S,49,6,3,0.16,,,,
A26T17KHYA5S3S,42,7,5,0.17,,,,
A26T17KHYA5S3S,21,5,5,0.11,,,,
A26T17KHYA5S3S,,,,,,,,
A29W8FRNCUTIM9,45,9,6,0.25,,,,
A29W8FRNCUTIM9,33,9,2,0.24,,,,
A29W8FRNCUTIM9,43,7,3,0.19,,,,
A29W8FRNCUTIM9,23,5,1,0.17,,,,
A2AUD0EEYGAWKH,116,8,5,0.22,,,,
A2AUD0EEYGAWKH,62,10,9,0.29,,,,
A2AUD0EEYGAWKH,74,10,7,0.3,,,,
A2AUD0EEYGAWKH,93,10,7,0.34,,,,
A2B7M6DUEI4WGX,47,10,9,0.25,,,,
A2B7M6DUEI4WGX,50,10,10,0.28,,,,
A2B7M6DUEI4WGX,49,10,9,0.27,,,,
A2B7M6DUEI4WGX,83,10,7,0.29,,,,
A2D2MD5O79XHXY,14,2,1,0.05,,,,
A2D2MD5O79XHXY,0,1,0,0.03,,,,
A2D2MD5O79XHXY,0,1,0,0.02,,,,
A2D2MD5O79XHXY,84,9,8,0.26,,,,
A2G2S14YIRXEKP,1375,3,3,0.1,,,,
A2G2S14YIRXEKP,,,,,,,,
A2G2S14YIRXEKP,,,,,,,,
A2G2S14YIRXEKP,,,,,,,,
A2H557RQ3T3LPX,,,,,,,,
A2H557RQ3T3LPX,,,,,,,,
A2H557RQ3T3LPX,,,,,,,,
A2H557RQ3T3LPX,,,,,,,,
A2IYGRTEJEB6DW,215,10,8,0.27,,,,
A2IYGRTEJEB6DW,116,9,6,0.22,,,,
A2IYGRTEJEB6DW,153,10,8,0.26,,,,
A2IYGRTEJEB6DW,112,8,6,0.23,,,,
A2KUEMZHTK9724,52,10,8,0.24,,,,
A2KUEMZHTK9724,0,9,6,0.23,,,,
A2KUEMZHTK9724,121,10,9,0.29,,,,
A2KUEMZHTK9724,13,10,7,0.28,,,,
A2MP227F412SIR,98,9,6,0.25,,,,
A2MP227F412SIR,36,6,5,0.17,,,,
A2MP227F412SIR,0,1,0,0.02,,,,
A2MP227F412SIR,21,4,2,0.11,,,,
A2MP227F412SIR,61,10,7,0.26,,,,
A2MP227F412SIR,49,10,4,0.27,,,,
A2NWJYV01PP63C,130,9,5,0.27,,,,
A2NWJYV01PP63C,90,9,7,0.25,,,,
A2NWJYV01PP63C,84,10,9,0.24,,,,
A2NWJYV01PP63C,164,10,4,0.25,,,,
A2NZLQZOFDE6EK,65,9,6,0.2,,,,
A2NZLQZOFDE6EK,70,10,8,0.25,,,,
A2NZLQZOFDE6EK,58,10,5,0.28,,,,
A2NZLQZOFDE6EK,44,10,6,0.27,,,,
A2QX7M306Z6ZJ7,71,10,8,0.3,,,,
A2QX7M306Z6ZJ7,82,10,7,0.27,,,,
A2QX7M306Z6ZJ7,71,10,7,0.24,,,,
A2QX7M306Z6ZJ7,49,10,9,0.22,,,,
A2RE7TOH2OUS4U,170,10,7,0.26,,,,
A2RE7TOH2OUS4U,105,10,6,0.26,,,,
A2RE7TOH2OUS4U,96,10,7,0.25,,,,
A2RE7TOH2OUS4U,96,10,4,0.26,,,,
A2SLLV1I17REK,67,9,5,0.28,,,,
A2SLLV1I17REK,91,10,5,0.27,,,,
A2SLLV1I17REK,71,10,7,0.25,,,,
A2SLLV1I17REK,71,10,8,0.26,,,,
A2TBEXK0NIDWEC,202,10,4,0.29,,,,
A2TBEXK0NIDWEC,246,9,6,0.27,,,,
A2TBEXK0NIDWEC,87,5,3,0.13,,,,
A2TBEXK0NIDWEC,120,10,7,0.27,,,,
A2U9UDH0HUYH3U,53,8,6,0.23,,,,
A2U9UDH0HUYH3U,185,10,6,0.25,,,,
A2U9UDH0HUYH3U,-93,10,7,0.28,,,,
A2U9UDH0HUYH3U,83,10,7,0.31,,,,
A2VB559SBL3KKB,103,8,5,0.22,,,,
A2VB559SBL3KKB,90,9,3,0.23,,,,
A2VB559SBL3KKB,177,10,7,0.26,,,,
A2VB559SBL3KKB,193,10,7,0.24,,,,
A2XMKA4PI5O0C,,,,,,,,
A2XMKA4PI5O0C,,,,,,,,
A2XMKA4PI5O0C,,,,,,,,
A2XMKA4PI5O0C,,,,,,,,
A2YMPGADK5MEP0,,,,,,,,
A2YMPGADK5MEP0,,,,,,,,
A2YMPGADK5MEP0,,,,,,,,
A2YMPGADK5MEP0,,,,,,,,
A2Z65E2WBVVA2N,192,8,5,0.24,,,,
A2Z65E2WBVVA2N,379,10,5,0.27,,,,
A2Z65E2WBVVA2N,78,9,6,0.26,,,,
A2Z65E2WBVVA2N,101,9,4,0.23,,,,
A30MVTZP96EHL4,76,9,6,0.23,,,,
A30MVTZP96EHL4,52,8,6,0.18,,,,
A30MVTZP96EHL4,98,10,6,0.27,,,,
A30MVTZP96EHL4,56,9,5,0.26,,,,
A3325LLTO594TG,53,10,6,0.28,,,,
A3325LLTO594TG,119,10,9,0.27,,,,
A3325LLTO594TG,52,10,7,0.26,,,,
A3325LLTO594TG,48,10,8,0.24,,,,
A33Z2X2GR192YL,123,10,3,0.26,,,,
A33Z2X2GR192YL,80,10,7,0.28,,,,
A33Z2X2GR192YL,125,10,8,0.28,,,,
A33Z2X2GR192YL,80,10,5,0.29,,,,
A354YHGCCVW4N5,77,10,7,0.25,,,,
A354YHGCCVW4N5,58,9,6,0.22,,,,
A354YHGCCVW4N5,84,9,9,0.23,,,,
A354YHGCCVW4N5,56,7,6,0.17,,,,
A35UWK03FDJ4KV,,,,,,,,
A35UWK03FDJ4KV,,,,,,,,
A35UWK03FDJ4KV,,,,,,,,
A35UWK03FDJ4KV,,,,,,,,
A37EAIRGC50VZN,88,9,4,0.26,,,,
A37EAIRGC50VZN,104,9,8,0.27,,,,
A37EAIRGC50VZN,71,9,5,0.21,,,,
A37EAIRGC50VZN,,,,,,,,
A39DY43GBH49SJ,201,10,7,0.28,,,,
A39DY43GBH49SJ,212,10,8,0.27,,,,
A39DY43GBH49SJ,137,10,7,0.25,,,,
A39DY43GBH49SJ,84,10,7,0.24,,,,
A3APBEWJRTCV4G,135,9,5,0.24,,,,
A3APBEWJRTCV4G,128,10,8,0.27,,,,
A3APBEWJRTCV4G,130,10,8,0.28,,,,
A3APBEWJRTCV4G,96,10,9,0.3,,,,
A3C7Z9ALUTSXHX,44,10,8,0.29,,,,
A3C7Z9ALUTSXHX,85,6,4,0.14,,,,
A3C7Z9ALUTSXHX,36,9,9,0.22,,,,
A3C7Z9ALUTSXHX,43,8,7,0.2,,,,
A3EUES1SETEUS6,60,10,9,0.26,,,,
A3EUES1SETEUS6,59,10,6,0.26,,,,
A3EUES1SETEUS6,47,10,7,0.26,,,,
A3EUES1SETEUS6,51,10,8,0.3,,,,
A3FH8K3XZJADMY,135,10,7,0.24,,,,
A3FH8K3XZJADMY,148,9,6,0.22,,,,
A3FH8K3XZJADMY,197,10,6,0.26,,,,
A3FH8K3XZJADMY,92,9,8,0.25,,,,
A3FIN4CUQQ8RN7,140,10,8,0.25,,,,
A3FIN4CUQQ8RN7,148,10,7,0.25,,,,
A3FIN4CUQQ8RN7,99,10,6,0.24,,,,
A3FIN4CUQQ8RN7,110,10,7,0.24,,,,
A3FPBA6Z1ZBVZE,103,10,7,0.26,,,,
A3FPBA6Z1ZBVZE,72,9,6,0.26,,,,
A3FPBA6Z1ZBVZE,77,10,3,0.28,,,,
A3FPBA6Z1ZBVZE,61,10,4,0.29,,,,
A3KT02CXO9T6Z8,49,10,7,0.3,,,,
A3KT02CXO9T6Z8,93,10,6,0.25,,,,
A3KT02CXO9T6Z8,78,10,7,0.24,,,,
A3KT02CXO9T6Z8,55,10,10,0.22,,,,
A3L2MMZBG6DHYS,164,8,7,0.21,,,,
A3L2MMZBG6DHYS,34,4,1,0.11,,,,
A3L2MMZBG6DHYS,0,1,1,0.03,,,,
A3L2MMZBG6DHYS,0,1,1,0.02,,,,
A3L2MMZBG6DHYS,77,4,3,0.13,,,,
A3L2MMZBG6DHYS,0,1,0,0.04,,,,
A3L2MMZBG6DHYS,75,9,8,0.27,,,,
A3L2MMZBG6DHYS,58,6,5,0.15,,,,
A3L2MMZBG6DHYS,75,10,8,0.3,,,,
A3MF5GN0AFDWGN,161,9,6,0.24,,,,
A3MF5GN0AFDWGN,130,10,6,0.26,,,,
A3MF5GN0AFDWGN,97,10,7,0.26,,,,
A3MF5GN0AFDWGN,79,10,6,0.25,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3O5G4PAUHAVOI,45,10,8,0.29,,,,
A3O5G4PAUHAVOI,42,10,8,0.27,,,,
A3O5G4PAUHAVOI,84,10,6,0.24,,,,
A3O5G4PAUHAVOI,208,9,7,0.19,,,,
A3OW4Y37UD3SML,130,10,5,0.28,,,,
A3OW4Y37UD3SML,107,9,7,0.27,,,,
A3OW4Y37UD3SML,135,10,7,0.28,,,,
A3OW4Y37UD3SML,63,10,6,0.33,,,,
A3PY2P6JOXTOF1,108,10,7,0.25,,,,
A3PY2P6JOXTOF1,99,10,7,0.27,,,,
A3PY2P6JOXTOF1,103,10,5,0.28,,,,
A3PY2P6JOXTOF1,,,,,,,,
A3Q84IRO57KUVU,88,10,6,0.3,,,,
A3Q84IRO57KUVU,91,10,10,0.27,,,,
A3Q84IRO57KUVU,85,10,10,0.29,,,,
A3Q84IRO57KUVU,62,10,7,0.26,,,,
A3SVVZOT628LE8,69,10,6,0.28,,,,
A3SVVZOT628LE8,70,10,8,0.27,,,,
A3SVVZOT628LE8,74,10,5,0.25,,,,
A3SVVZOT628LE8,46,8,7,0.18,,,,
A3TVJTQUSMF8NI,56,10,8,0.27,,,,
A3TVJTQUSMF8NI,68,10,8,0.26,,,,
A3TVJTQUSMF8NI,77,10,9,0.25,,,,
A3TVJTQUSMF8NI,85,10,9,0.23,,,,
A3USIJJCFXMG33,40,10,7,0.22,,,,
A3USIJJCFXMG33,47,10,10,0.26,,,,
A3USIJJCFXMG33,36,10,7,0.26,,,,
A3USIJJCFXMG33,56,10,7,0.28,,,,
A46M35FVJ5YDS,51,10,4,0.28,,,,
A46M35FVJ5YDS,70,10,9,0.3,,,,
A46M35FVJ5YDS,53,9,7,0.26,,,,
A46M35FVJ5YDS,53,10,8,0.22,,,,
A4C4JPLX3M246,64,10,6,0.28,,,,
A4C4JPLX3M246,134,10,8,0.27,,,,
A4C4JPLX3M246,57,10,10,0.23,,,,
A4C4JPLX3M246,46,9,8,0.24,,,,
A4RRZONHURU74,48,10,9,0.27,,,,
A4RRZONHURU74,143,10,10,0.27,,,,
A4RRZONHURU74,89,10,8,0.26,,,,
A4RRZONHURU74,64,10,8,0.18,,,,
A4SY4OEPSZ5M0,52,9,5,0.26,,,,
A4SY4OEPSZ5M0,68,10,6,0.25,,,,
A4SY4OEPSZ5M0,61,10,7,0.24,,,,
A4SY4OEPSZ5M0,58,10,5,0.22,,,,
A4VZVUVMM9M51,66,10,4,0.26,,,,
A4VZVUVMM9M51,59,10,8,0.26,,,,
A4VZVUVMM9M51,60,10,5,0.24,,,,
A4VZVUVMM9M51,59,10,6,0.25,,,,
A5JVR3MIY6ZU7,72,8,5,0.23,,,,
A5JVR3MIY6ZU7,68,9,8,0.26,,,,
A5JVR3MIY6ZU7,63,10,7,0.29,,,,
A5JVR3MIY6ZU7,9,3,2,0.06,,,,
A5JVR3MIY6ZU7,0,1,1,0.03,,,,
A5JVR3MIY6ZU7,0,1,1,0.01,,,,
A5JVR3MIY6ZU7,39,10,6,0.28,,,,
A707WHGJTEF35,100,10,7,0.28,,,,
A707WHGJTEF35,56,9,6,0.26,,,,
A707WHGJTEF35,70,10,8,0.25,,,,
A707WHGJTEF35,73,10,9,0.24,,,,
A707WHGJTEF35,87,10,7,0.26,,,,
A7BCBYYNSORBY,58,10,9,0.28,,,,
A7BCBYYNSORBY,60,10,8,0.28,,,,
A7BCBYYNSORBY,63,10,8,0.3,,,,
A7BCBYYNSORBY,76,10,6,0.31,,,,
A7QWSL1MOFVO7,377,10,4,0.27,,,,
A7QWSL1MOFVO7,345,10,6,0.26,,,,
A7QWSL1MOFVO7,140,10,6,0.25,,,,
A7QWSL1MOFVO7,131,9,5,0.19,,,,
AB4SWSQGKADYJ,67,10,5,0.3,,,,
AB4SWSQGKADYJ,42,10,8,0.25,,,,
AB4SWSQGKADYJ,59,10,9,0.25,,,,
AB4SWSQGKADYJ,85,10,5,0.23,,,,
AEDANPWFSD3KB,62,10,8,0.28,,,,
AEDANPWFSD3KB,57,10,4,0.29,,,,
AEDANPWFSD3KB,48,10,8,0.27,,,,
AEDANPWFSD3KB,37,10,8,0.28,,,,
AHFWMHXRTGDK9,78,10,9,0.28,,,,
AHFWMHXRTGDK9,47,10,9,0.27,,,,
AHFWMHXRTGDK9,59,10,7,0.26,,,,
AHFWMHXRTGDK9,50,10,5,0.23,,,,
AHLY43ZD9BNAF,56,10,7,0.26,,,,
AHLY43ZD9BNAF,74,10,9,0.24,,,,
AHLY43ZD9BNAF,45,10,6,0.25,,,,
AHLY43ZD9BNAF,61,10,7,0.23,,,,
AHPW5R1OVKV1X,58,10,8,0.28,,,,
AHPW5R1OVKV1X,68,10,9,0.26,,,,
AHPW5R1OVKV1X,57,10,8,0.27,,,,
AHPW5R1OVKV1X,56,10,7,0.24,,,,
AIFRN9GF0Q1ZI,88,7,5,0.19,,,,
AIFRN9GF0Q1ZI,132,10,5,0.29,,,,
AIFRN9GF0Q1ZI,123,10,5,0.29,,,,
AIFRN9GF0Q1ZI,113,10,8,0.29,,,,
ALWIVW72RVB5E,119,8,3,0.21,,,,
ALWIVW72RVB5E,126,10,7,0.26,,,,
ALWIVW72RVB5E,77,9,7,0.24,,,,
ALWIVW72RVB5E,84,10,8,0.26,,,,
ANMV627610253,153,9,5,0.26,,,,
ANMV627610253,212,10,4,0.29,,,,
ANMV627610253,176,10,8,0.26,,,,
ANMV627610253,69,10,9,0.24,,,,
AQSK1671FL496,93,10,7,0.24,,,,
AQSK1671FL496,67,8,5,0.2,,,,
AQSK1671FL496,82,10,6,0.25,,,,
AQSK1671FL496,69,10,8,0.28,,,,
AR73R3ZQI14UA,78,10,9,0.32,,,,
AR73R3ZQI14UA,66,10,7,0.25,,,,
