WorkerId,Answer.task-set-rating
A2IRIBEI9NTIW8,5
A2CAMPAA7650H2,4
A3P86OK72F8M99,5
A304JFG8AJM7U6,5
A10QCFQMBPB6IB,5
A2K9GHFRY094XA,5
A28JGET2XTPRG5,5
AAXILKN9M4YW1,5
A2HJ05IDCIY01V,5
A2J6S7QR4CGXTW,5
A1LUWOV426JV1N,3
A31EUQA8YR9SPI,4
A1KBDN6C1Q0D4U,5
A1ZQU2A5A8EIHL,5
A1BMJX36PG4EMH,4
A14JGIN4ZXXLGD,4
A1NYHBSW9EIQX9,4
AMHZ8D856PO3F,5
A356EVHB3TU90R,5
A122PMN7S5SU33,5
A3UNKB1RRNN2FT,5
AAABU3NPTCTAR,5
A171NRH2G227NA,4
A3E9N7HDRLT8KV,5
A1XLQVD1R2V8CL,5
A21U899S9P4XSC,5
A3RAL81XKTKNMS,3
A247TCDIBB07JC,3
AXKHNWMKGT751,5
A2AI4HOWRCG7KZ,5
AOEO9ZV81R0I4,5
A1I23EV4D72JBL,5
A35IT4GHURUWK7,5
A3DZGDF9HCTAOB,3
A27TYK7FQNPG8J,5
A3SWYPKNAPAQKI,5
A306XHZ4SSZN23,4
A2N10QFJ8OCU2T,4
A2RLY2I4U06ETD,4
A843DU1CYIR9Z,4
ASG1PXG3EUYN8,5
ASW8M4F98R3R6,4
AYDIZBR38B0TY,5
A267H808C339ZQ,5
A24A03BCD4TKWL,5
A2HG1N3BVQO6I,4
AI01TBF4CXKXI,5
A2AJIKFMHK85XN,5
A3QTW23DMB8PHI,5
A1CZ2GB5LZ9O5H,5
AL4A0AKTQGE4A,4
AKLKDS34ZAGML,4
AYQ8YE6T9W8FB,5
A3B84NGQT7Z9WE,5
A2UVJMJV1EOH9X,5
A9UBOMDU3AJYF,5
A3G5ZPURJ0XCBG,5
A2YE2I9DYV9OKW,3
A1QGQCC33OBPKM,4
A3SBNJPZS7E2AX,4
A2N962G55T9MOB,5
A14BSOU2Y5JNT0,4
AXID3RPK6NZT6,3
A2DQ9P2NT6QN0U,5
A3SLY0SJLJZ0J1,5
A3VLGVKJOHU58D,5
A1EJ0659YRDUOR,5
A2WP04RFZ9STGJ,2
A3JNSAQ0BJ33ZM,4
A3BJZIRRQVSOT7,4
A1YTKIM7NU5MGV,3
A2APG8MSLJ6G2K,5
A17MKHO0INIV0D,5
A3HC8FUORPCNN1,4
A2IQFNKKQ4VU1U,5
A3DTPGXKABAFEJ,4
APF1EAZT104LQ,5
A1QC6WNXRWWPCC,5
A1OWHPMKE7YAGL,4
A1VA5PON4OHGYA,4
A1YJZESXJDG0XM,5
A2JZT1SP5F3PR1,4
A12W7ZB2DLBBY5,5
A3AYHESLQSDY5T,5
A1M6A01CROTF3K,5
A2880Y23V0UITQ,4
A1H0QGA8A42RDD,3
A5FUU339LEP25,5
AOY5CF0UQUMO2,5
A1EK0G6HYJ60O1,3
A12M78R4SVDCV7,3
A1AYYEZDTP7VL,4
A333JTLOVOOWS,4
A3HH7T31PFH49C,5
A1A3S0HSZZGZ43,5
A2VEUYSAOYJJDC,4
A23FMK3IDMUAXQ,3
A37O5SYY9VWSPY,5
A38CJGMJRTWE87,4
A14JC769A8FXN1,5
A3GTPW3MYSLMR7,4
A8289AEOKHKV4,5
A30DEG9REA9V2N,3
A24JNJIJ6SKKVZ,5
AS11VPZ1QAEQB,5
AZI9VZ55E3TP2,4
A1OSYT1HAG3ZQM,5
AOGEGRPMKRKY,4
A334GA484JTNIM,4
A1OSESE6RG3NFB,5
A33LPSMA0N618I,5
A2C8QIT0DJRCHN,5
A2K6GAHX04JMQJ,5
A1IH7F19OWLD3A,5
A25VNYKP7SASYC,5
